num_annee;lib_annee;appareil;Nb appareils considérés;periode;tranche_horaire;consommation_Wh/h
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[0,1[;39,4
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[1,2[;38,6
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[2,3[;38,3
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[3,4[;37,1
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[4,5[;36,7
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[5,6[;36,0
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[6,7[;36,4
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[7,8[;37,3
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[8,9[;37,5
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[9,10[;37,6
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[10,11[;37,4
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[11,12[;37,9
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[12,13[;39,5
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[13,14[;41,1
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[14,15[;40,4
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[15,16[;39,6
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[16,17[;39,9
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[17,18[;40,3
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[18,19[;41,4
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[19,20[;43,5
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[20,21[;45,2
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[21,22[;43,7
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[22,23[;42,0
1;Avril 2019 - Avril 2020;Réfricongélateur;87;Toutes saisons;[23,24[;40,6
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[0,1[;19,0
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[1,2[;18,8
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[2,3[;18,2
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[3,4[;17,7
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[4,5[;17,5
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[5,6[;17,2
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[6,7[;17,6
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[7,8[;17,9
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[8,9[;17,8
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[9,10[;18,0
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[10,11[;17,9
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[11,12[;18,4
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[12,13[;19,3
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[13,14[;19,7
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[14,15[;19,3
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[15,16[;19,1
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[16,17[;19,1
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[17,18[;19,5
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[18,19[;19,8
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[19,20[;21,2
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[20,21[;22,1
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[21,22[;21,3
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[22,23[;20,2
1;Avril 2019 - Avril 2020;Réfrigérateur;28;Toutes saisons;[23,24[;19,2
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[0,1[;33,0
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[1,2[;32,9
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[2,3[;32,7
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[3,4[;32,3
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[4,5[;32,0
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[5,6[;31,9
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[6,7[;31,7
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[7,8[;31,7
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[8,9[;31,6
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[9,10[;31,6
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[10,11[;31,9
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[11,12[;32,2
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[12,13[;32,7
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[13,14[;33,2
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[14,15[;33,3
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[15,16[;33,5
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[16,17[;33,6
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[17,18[;33,8
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[18,19[;34,1
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[19,20[;34,3
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[20,21[;34,6
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[21,22[;34,2
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[22,23[;33,9
1;Avril 2019 - Avril 2020;Congélateur;56;Toutes saisons;[23,24[;33,4
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[0,1[;7,3
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[1,2[;6,0
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[2,3[;5,7
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[3,4[;5,4
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[4,5[;7,1
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[5,6[;4,9
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[6,7[;3,3
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[7,8[;6,8
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[8,9[;13,3
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[9,10[;19,5
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[10,11[;23,4
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[11,12[;21,8
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[12,13[;19,3
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[13,14[;16,5
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[14,15[;14,5
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[15,16[;12,1
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[16,17[;11,4
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[17,18[;12,2
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[18,19[;13,7
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[19,20[;14,0
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[20,21[;10,7
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[21,22[;10,0
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[22,23[;8,5
1;Avril 2019 - Avril 2020;Lave-linge;100;Toutes saisons;[23,24[;9,1
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[0,1[;24,5
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[1,2[;21,3
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[2,3[;17,7
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[3,4[;12,4
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[4,5[;8,3
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[5,6[;3,9
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[6,7[;3,5
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[7,8[;9,6
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[8,9[;19,0
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[9,10[;22,2
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[10,11[;21,9
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[11,12[;14,5
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[12,13[;16,1
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[13,14[;30,1
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[14,15[;34,4
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[15,16[;21,9
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[16,17[;13,9
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[17,18[;11,7
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[18,19[;11,4
1;Avril 2019 - Avril 2020;Lave-vaisselle;72;Toutes saisons;[19,20[;14,7
